LST_DATE,DAY,LST_TIME,T_HR_AVG
20100601,TUESDAY,0:00,10.5
20100601,TUESDAY,1:00,10.5
20100601,TUESDAY,2:00,10
20100601,TUESDAY,3:00,9.7
20100601,TUESDAY,4:00,9.4
20100601,TUESDAY,5:00,9.4
20100601,TUESDAY,6:00,9.7
20100601,TUESDAY,7:00,10.3
20100601,TUESDAY,8:00,10.9
20100601,TUESDAY,9:00,10.8
20100601,TUESDAY,10:00,10.6
20100601,TUESDAY,11:00,11.9
20100601,TUESDAY,12:00,12.3
20100601,TUESDAY,13:00,14.9
20100601,TUESDAY,14:00,16
20100601,TUESDAY,15:00,14.1
20100601,TUESDAY,16:00,14.8
20100601,TUESDAY,17:00,16.6
20100601,TUESDAY,18:00,16.2
20100601,TUESDAY,19:00,14.7
20100601,TUESDAY,20:00,13.9
20100601,TUESDAY,21:00,13.6
20100601,TUESDAY,22:00,13.5
20100601,TUESDAY,23:00,12.7
20100602,WEDNESDAY,0:00,12.6
20100602,WEDNESDAY,1:00,12.1
20100602,WEDNESDAY,2:00,12.4
20100602,WEDNESDAY,3:00,12.7
20100602,WEDNESDAY,4:00,12
20100602,WEDNESDAY,5:00,11.5
20100602,WEDNESDAY,6:00,12.1
20100602,WEDNESDAY,7:00,14.2
20100602,WEDNESDAY,8:00,15.3
20100602,WEDNESDAY,9:00,16
20100602,WEDNESDAY,10:00,17.2
20100602,WEDNESDAY,11:00,16.7
20100602,WEDNESDAY,12:00,15.7
20100602,WEDNESDAY,13:00,15.4
20100602,WEDNESDAY,14:00,15.9
20100602,WEDNESDAY,15:00,12.1
20100602,WEDNESDAY,16:00,9.9
20100602,WEDNESDAY,17:00,9.7
20100602,WEDNESDAY,18:00,10.8
20100602,WEDNESDAY,19:00,10.2
20100602,WEDNESDAY,20:00,9.1
20100602,WEDNESDAY,21:00,7.1
20100602,WEDNESDAY,22:00,6
20100602,WEDNESDAY,23:00,5.4
20100603,THURSDAY,0:00,5.7
20100603,THURSDAY,1:00,6
20100603,THURSDAY,2:00,6.4
20100603,THURSDAY,3:00,6.4
20100603,THURSDAY,4:00,6.6
20100603,THURSDAY,5:00,6.9
20100603,THURSDAY,6:00,7.9
20100603,THURSDAY,7:00,9.5
20100603,THURSDAY,8:00,11.9
20100603,THURSDAY,9:00,13.1
20100603,THURSDAY,10:00,13.8
20100603,THURSDAY,11:00,14
20100603,THURSDAY,12:00,14.9
20100603,THURSDAY,13:00,15.1
20100603,THURSDAY,14:00,13.7
20100603,THURSDAY,15:00,14.4
20100603,THURSDAY,16:00,13.2
20100603,THURSDAY,17:00,10.9
20100603,THURSDAY,18:00,9.6
20100603,THURSDAY,19:00,9.7
20100603,THURSDAY,20:00,9.6
20100603,THURSDAY,21:00,8.9
20100603,THURSDAY,22:00,7.7
20100603,THURSDAY,23:00,7.8
20100604,FRIDAY,0:00,7.6
20100604,FRIDAY,1:00,7.3
20100604,FRIDAY,2:00,6.1
20100604,FRIDAY,3:00,5.5
20100604,FRIDAY,4:00,5.2
20100604,FRIDAY,5:00,6.9
20100604,FRIDAY,6:00,8.8
20100604,FRIDAY,7:00,9.7
20100604,FRIDAY,8:00,11.9
20100604,FRIDAY,9:00,12.5
20100604,FRIDAY,10:00,13.8
20100604,FRIDAY,11:00,14.1
20100604,FRIDAY,12:00,14.3
20100604,FRIDAY,13:00,15.7
20100604,FRIDAY,14:00,16.5
20100604,FRIDAY,15:00,15
20100604,FRIDAY,16:00,13.4
20100604,FRIDAY,17:00,13.1
20100604,FRIDAY,18:00,12.6
