LST_DATE,DAY,LST_TIME,T_HR_AVG
20100601,TUESDAY,0:00,25.2
20100601,TUESDAY,1:00,24.1
20100601,TUESDAY,2:00,24.4
20100601,TUESDAY,3:00,24.9
20100601,TUESDAY,4:00,22.8
20100601,TUESDAY,5:00,19.8
20100601,TUESDAY,6:00,18.8
20100601,TUESDAY,7:00,21.2
20100601,TUESDAY,8:00,24.2
20100601,TUESDAY,9:00,27.1
20100601,TUESDAY,10:00,29.3
20100601,TUESDAY,11:00,30.6
20100601,TUESDAY,12:00,32.6
20100601,TUESDAY,13:00,34.0
20100601,TUESDAY,14:00,34.0
20100601,TUESDAY,15:00,34.9
20100601,TUESDAY,16:00,34.6
20100601,TUESDAY,17:00,33.8
20100601,TUESDAY,18:00,33.5
20100601,TUESDAY,19:00,32.8
20100601,TUESDAY,20:00,31.0
20100601,TUESDAY,21:00,29.0
20100601,TUESDAY,22:00,27.6
20100601,TUESDAY,23:00,26.3
20100602,WEDNESDAY,0:00,23.8
20100602,WEDNESDAY,1:00,20.6
20100602,WEDNESDAY,2:00,19.1
20100602,WEDNESDAY,3:00,18.4
20100602,WEDNESDAY,4:00,18.9
20100602,WEDNESDAY,5:00,18.2
20100602,WEDNESDAY,6:00,17.9
20100602,WEDNESDAY,7:00,20.2
20100602,WEDNESDAY,8:00,23.8
20100602,WEDNESDAY,9:00,26.1
20100602,WEDNESDAY,10:00,27.9
20100602,WEDNESDAY,11:00,29.3
20100602,WEDNESDAY,12:00,30.9
20100602,WEDNESDAY,13:00,32.2
20100602,WEDNESDAY,14:00,33.1
20100602,WEDNESDAY,15:00,33.7
20100602,WEDNESDAY,16:00,34.5
20100602,WEDNESDAY,17:00,34.7
20100602,WEDNESDAY,18:00,34.8
20100602,WEDNESDAY,19:00,34.2
20100602,WEDNESDAY,20:00,32.8
20100602,WEDNESDAY,21:00,31.0
20100602,WEDNESDAY,22:00,28.7
20100602,WEDNESDAY,23:00,25.5
20100603,THURSDAY,0:00,24.3
20100603,THURSDAY,1:00,23.1
20100603,THURSDAY,2:00,21.8
20100603,THURSDAY,3:00,19.8
20100603,THURSDAY,4:00,18.5
20100603,THURSDAY,5:00,19.2
20100603,THURSDAY,6:00,19.7
20100603,THURSDAY,7:00,20.7
20100603,THURSDAY,8:00,23.2
20100603,THURSDAY,9:00,26.1
20100603,THURSDAY,10:00,28.6
20100603,THURSDAY,11:00,30.8
20100603,THURSDAY,12:00,32.3
20100603,THURSDAY,13:00,33.8
20100603,THURSDAY,14:00,34.9
20100603,THURSDAY,15:00,35.8
20100603,THURSDAY,16:00,35.9
20100603,THURSDAY,17:00,36.3
20100603,THURSDAY,18:00,35.8
20100603,THURSDAY,19:00,35.4
20100603,THURSDAY,20:00,34.2
20100603,THURSDAY,21:00,32.7
20100603,THURSDAY,22:00,31.1
20100603,THURSDAY,23:00,28.6
20100604,FRIDAY,0:00,26.4
20100604,FRIDAY,1:00,25.4
20100604,FRIDAY,2:00,24.2
20100604,FRIDAY,3:00,23.6
20100604,FRIDAY,4:00,22.5
20100604,FRIDAY,5:00,21.0
20100604,FRIDAY,6:00,21.3
20100604,FRIDAY,7:00,22.5
20100604,FRIDAY,8:00,24.7
20100604,FRIDAY,9:00,28.1
20100604,FRIDAY,10:00,30.6
20100604,FRIDAY,11:00,32.5
20100604,FRIDAY,12:00,33.9
20100604,FRIDAY,13:00,35.5
20100604,FRIDAY,14:00,36.6
20100604,FRIDAY,15:00,37.2
20100604,FRIDAY,16:00,37.8
20100604,FRIDAY,17:00,38.1
20100604,FRIDAY,18:00,38.2
20100604,FRIDAY,19:00,37.4
20100604,FRIDAY,20:00,36.0
20100604,FRIDAY,21:00,34.4
20100604,FRIDAY,22:00,32.6
20100604,FRIDAY,23:00,30.1
20100605,SATURDAY,0:00,28.3
20100605,SATURDAY,1:00,27.3
20100605,SATURDAY,2:00,26.3
20100605,SATURDAY,3:00,25.3
20100605,SATURDAY,4:00,24.7
20100605,SATURDAY,5:00,24.7
20100605,SATURDAY,6:00,23.9
20100605,SATURDAY,7:00,24.7
20100605,SATURDAY,8:00,27.7
20100605,SATURDAY,9:00,30.4
20100605,SATURDAY,10:00,32.6
20100605,SATURDAY,11:00,34.8
20100605,SATURDAY,12:00,36.4
20100605,SATURDAY,13:00,37.2
20100605,SATURDAY,14:00,38.4
20100605,SATURDAY,15:00,39.7
20100605,SATURDAY,16:00,40.0
20100605,SATURDAY,17:00,40.4
20100605,SATURDAY,18:00,40.1
20100605,SATURDAY,19:00,39.0
20100605,SATURDAY,20:00,37.3
20100605,SATURDAY,21:00,35.7
20100605,SATURDAY,22:00,33.9
20100605,SATURDAY,23:00,31.4
20100606,SUNDAY,0:00,29.7
20100606,SUNDAY,1:00,28.6
20100606,SUNDAY,2:00,26.9
20100606,SUNDAY,3:00,25.9
20100606,SUNDAY,4:00,25.2
20100606,SUNDAY,5:00,24.8
20100606,SUNDAY,6:00,23.9
20100606,SUNDAY,7:00,26.1
20100606,SUNDAY,8:00,27.9
20100606,SUNDAY,9:00,30.5
20100606,SUNDAY,10:00,33.7
20100606,SUNDAY,11:00,35.6
20100606,SUNDAY,12:00,36.9
20100606,SUNDAY,13:00,38.4
20100606,SUNDAY,14:00,39.2
20100606,SUNDAY,15:00,40.2
20100606,SUNDAY,16:00,40.6
20100606,SUNDAY,17:00,40.6
20100606,SUNDAY,18:00,40.3
20100606,SUNDAY,19:00,39.5
20100606,SUNDAY,20:00,37.9
20100606,SUNDAY,21:00,36.5
20100606,SUNDAY,22:00,35.0
20100606,SUNDAY,23:00,32.9
20100607,MONDAY,0:00,30.9
20100607,MONDAY,1:00,28.7
20100607,MONDAY,2:00,26.9
20100607,MONDAY,3:00,25.2
20100607,MONDAY,4:00,24.1
20100607,MONDAY,5:00,24.3
20100607,MONDAY,6:00,23.4
20100607,MONDAY,7:00,25.7
20100607,MONDAY,8:00,28.5
20100607,MONDAY,9:00,30.7
20100607,MONDAY,10:00,32.5
20100607,MONDAY,11:00,34.1
20100607,MONDAY,12:00,36.1
20100607,MONDAY,13:00,37.6
20100607,MONDAY,14:00,39.0
20100607,MONDAY,15:00,40.2
20100607,MONDAY,16:00,40.3
20100607,MONDAY,17:00,40.2
20100607,MONDAY,18:00,40.1
20100607,MONDAY,19:00,39.4
20100607,MONDAY,20:00,38.5
20100607,MONDAY,21:00,37.0
20100607,MONDAY,22:00,34.7
20100607,MONDAY,23:00,32.6
