Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry
ABMD,"ABIOMED, Inc.",286.22,12673199072,n/a,Health Care,Medical/Dental Instruments
ATVI,"Activision Blizzard, Inc",64.56,48977260163,n/a,Technology,Computer Software: Prepackaged Software
ADBE,Adobe Systems Incorporated,218.61,1.07659E+11,1986,Technology,Computer Software: Prepackaged Software
AMD,"Advanced Micro Devices, Inc.",9.61,9313356002,n/a,Technology,Semiconductors
AGNC,AGNC Investment Corp.,18.95,7415454118,2008,Consumer Services,Real Estate Investment Trusts
AKAM,"Akamai Technologies, Inc.",69.34,11789990104,1999,Miscellaneous,Business Services
ALXN,"Alexion Pharmaceuticals, Inc.",109.24,24290422768,1996,Health Care,Major Pharmaceuticals
ALGN,"Align Technology, Inc.",245.23,19651562208,2001,Health Care,Industrial Specialties
ALKS,Alkermes plc,42.18,6586169358,1991,Health Care,Major Pharmaceuticals
ALNY,"Alnylam Pharmaceuticals, Inc.",95.08,9524295666,2004,Health Care,Major Pharmaceuticals
GOOG,Alphabet Inc.,1007.04,7.00192E+11,2004,Technology,"Computer Software: Programming, Data Processing"
AABA,Altaba Inc.,67.55,55723434828,n/a,Technology,EDP Services
AMZN,"Amazon.com, Inc.",1405.23,6.80282E+11,1997,Consumer Services,Catalog/Specialty Distribution
DOX,Amdocs Limited,65.59,9407114570,n/a,Technology,EDP Services
UHAL,Amerco,345.8,6780373090,n/a,Consumer Services,Rental/Leasing Companies
AMOV,"America Movil, S.A.B. de C.V.",19.31,63784031340,n/a,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",50.29,23794144368,n/a,Transportation,Air Freight/Delivery Services
AMGN,Amgen Inc.,168.14,1.21155E+11,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADI,"Analog Devices, Inc.",88.31,32657354945,n/a,Technology,Semiconductors
ANGI,ANGI Homeservices Inc.,13.32,6370323167,n/a,Consumer Services,Advertising
ANSS,"ANSYS, Inc.",153.51,12875092781,1996,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,168.38,8.54362E+11,1980,Technology,Computer Manufacturing
AMAT,"Applied Materials, Inc.",52.34,54992983802,1972,Technology,Semiconductors
ACGL,Arch Capital Group Ltd.,85.41,11675781450,n/a,Finance,Property-Casualty Insurers
ARCC,Ares Capital Corporation,15.98,6812260657,2004,n/a,n/a
ASML,ASML Holding N.V.,194.63,14385008515,1995,Technology,Industrial Machinery/Components
AZPN,"Aspen Technology, Inc.",79.23,5699721028,1994,Technology,EDP Services
ATHN,"athenahealth, Inc.",138.78,5564773378,2007,Miscellaneous,Business Services
TEAM,Atlassian Corporation Plc,54.59,12677971173,2015,Technology,Computer Software: Prepackaged Software
ADSK,"Autodesk, Inc.",125.75,27454728647,n/a,Technology,Computer Software: Prepackaged Software
ADP,"Automatic Data Processing, Inc.",113.7,50399760001,n/a,Technology,EDP Services
BIDU,"Baidu, Inc.",219.82,61711479844,2005,Technology,"Computer Software: Programming, Data Processing"
OZRK,Bank of the Ozarks,46.82,6001426648,1997,Finance,Major Banks
BIIB,Biogen Inc.,257.65,54509126048,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BMRN,BioMarin Pharmaceutical Inc.,76.01,13383252559,1999,Health Care,Major Pharmaceuticals
TECH,Bio-Techne Corp,145.33,5446098019,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BLKB,"Blackbaud, Inc.",103.48,4975116407,2004,Technology,Computer Software: Prepackaged Software
BUFF,"Blue Buffalo Pet Products, Inc.",39.92,7810092871,2015,Consumer Non-Durables,Packaged Foods
BLUE,"bluebird bio, Inc.",162.7,8132317728,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BOKF,BOK Financial Corporation,98.73,6463731860,n/a,Finance,Major Banks
BKNG,Booking Holdings Inc.,2033.41,98190505859,n/a,Miscellaneous,Business Services
BHF,"Brighthouse Financial, Inc.",50.24,6017400845,n/a,Finance,Life Insurance
AVGO,Broadcom Inc.,228.87,94008806807,2009,Technology,Semiconductors
CHRW,"C.H. Robinson Worldwide, Inc.",90.48,12699249283,1997,Transportation,Oil Refining/Marketing
CA,CA Inc.,33.18,13833545089,n/a,Technology,Computer Software: Prepackaged Software
CDNS,"Cadence Design Systems, Inc.",35.9,10168163246,n/a,Technology,Computer Software: Prepackaged Software
CZR,Caesars Entertainment Corporation,11,7664089411,2012,Consumer Services,Hotels/Resorts
CG,Carlyle Group L.P. (The),20.25,6789569283,2012,Finance,Investment Managers
CAVM,"Cavium, Inc.",77.59,5419581815,2007,Technology,Semiconductors
CBOE,"Cboe Global Markets, Inc.",109.34,12323158686,2010,Finance,Investment Bankers/Brokers/Service
CDK,"CDK Global, Inc.",63.49,8543117514,n/a,Miscellaneous,Business Services
CDW,CDW Corporation,67.95,10357171593,2013,Consumer Services,Catalog/Specialty Distribution
CELG,Celgene Corporation,86.95,65401669116,1987,Health Care,Major Pharmaceuticals
CERN,Cerner Corporation,56.42,18765140964,1986,Technology,EDP Services
CHTR,"Charter Communications, Inc.",310.67,73873859233,n/a,Consumer Services,Television Services
CHKP,Check Point Software Technologies Ltd.,98.56,16358516106,1996,Technology,Computer Software: Prepackaged Software
CINF,Cincinnati Financial Corporation,73,11978546713,n/a,Finance,Property-Casualty Insurers
CTAS,Cintas Corporation,166.74,17788059471,1983,Consumer Non-Durables,Apparel
CSCO,"Cisco Systems, Inc.",40.73,1.96217E+11,1990,Technology,Computer Communications Equipment
CTXS,"Citrix Systems, Inc.",91.78,12495925564,1995,Technology,Computer Software: Prepackaged Software
CME,CME Group Inc.,158.26,53873149863,2002,Finance,Investment Bankers/Brokers/Service
CGNX,Cognex Corporation,49.29,8520175305,1989,Capital Goods,Industrial Machinery/Components
CTSH,Cognizant Technology Solutions Corporation,79.07,46497218900,1998,Technology,EDP Services
COLM,Columbia Sportswear Company,78.85,5520832328,1998,Consumer Non-Durables,Apparel
CMCSA,Comcast Corporation,34.12,1.58471E+11,n/a,Consumer Services,Television Services
CBSH,"Commerce Bancshares, Inc.",58.95,6301259702,n/a,Finance,Major Banks
COMM,"CommScope Holding Company, Inc.",38.93,7470523815,2013,Technology,Radio And Television Broadcasting And Communications Equipment
CPRT,"Copart, Inc.",49.66,11520837087,1994,Consumer Durables,Automotive Aftermarket
CSGP,"CoStar Group, Inc.",351.28,12679346567,1998,Miscellaneous,Business Services
COST,Costco Wholesale Corporation,183.96,80725377237,n/a,Consumer Services,Department/Specialty Retail Stores
CACC,Credit Acceptance Corporation,316.26,6106996097,1992,Finance,Finance: Consumer Services
CSX,CSX Corporation,54.35,48221280948,n/a,Transportation,Railroads
CTRP,"Ctrip.com International, Ltd.",44.8,20705606656,2003,Miscellaneous,Business Services
CY,Cypress Semiconductor Corporation,16.29,5833322964,1986,Technology,Semiconductors
XRAY,DENTSPLY SIRONA Inc.,49.02,11145927353,1987,Health Care,Medical/Dental Instruments
DXCM,"DexCom, Inc.",70.15,6102850634,2005,Health Care,Medical/Dental Instruments
FANG,"Diamondback Energy, Inc.",116.62,11448269243,2012,Energy,Oil & Gas Production
DISCB,"Discovery, Inc.",34.5,17342029923,n/a,Consumer Services,Television Services
DISCA,"Discovery, Inc.",22.62,11370339619,n/a,Consumer Services,Television Services
DISCK,"Discovery, Inc.",20.73,10420297980,n/a,Consumer Services,Television Services
DISH,DISH Network Corporation,38.51,17970870572,1995,Consumer Services,Television Services
DLTR,"Dollar Tree, Inc.",98.72,23429809821,1995,Consumer Services,Department/Specialty Retail Stores
DBX,"Dropbox, Inc.",30.24,11851147053,2018,Technology,Computer Software: Prepackaged Software
DNKN,"Dunkin' Brands Group, Inc.",59.69,4936938889,2011,Consumer Services,Restaurants
ETFC,E*TRADE Financial Corporation,55.24,14646673713,n/a,Finance,Savings Institutions
EWBC,"East West Bancorp, Inc.",60.41,8731904369,n/a,Finance,Major Banks
EBAY,eBay Inc.,39.09,39562194418,1998,Miscellaneous,Business Services
SATS,EchoStar Corporation,53.71,5150601821,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
ESLT,Elbit Systems Ltd.,116.64,4986731148,n/a,Capital Goods,Military/Government/Technical
