SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017
10,0,0,0,United States,308745538,308758105,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178,580316,2305859,2348992,2241233,2388020,2417314,2366096,2313243,987836,3973485,3936976,3940576,3963195,3992376,3962714,3946000,598691,2512442,2501531,2608019,2582448,2699826,2728714,2744040,389145,1461043,1435445,1332557,1380747,1292550,1234000,1201960,191171,844816,913547,908676,1007273,1124764,1132096,1111283,0,0,0,0,0,0,0,0,191171,844816,913547,908676,1007273,1124764,1132096,1111283,0,0,0,0,0,0,0,0,12.79740963,12.58548496,12.5052438,12.485315,12.48276036,12.29805256,12.15790276,8.091826056,7.996741858,8.276433046,8.135526199,8.441409568,8.468405287,8.454579695,4.705583578,4.5887431,4.228810753,4.349788802,4.04135079,3.829647272,3.70332306,2.720900272,2.920371378,2.883643131,3.173227837,3.51674278,3.513394131,3.423940864,0,0,0,0,0,0,0,2.720900272,2.920371378,2.883643131,3.173227837,3.51674278,3.513394131,3.423940864
20,1,0,0,Northeast Region,55317240,55318350,55388349,55642659,55860261,56047732,56203078,56296628,56359360,56470581,69999,254310,217602,187471,155346,93550,62732,111221,163452,646252,637891,635767,632435,634515,625336,621245,110732,470885,460988,479828,470012,488936,488935,493164,52720,175367,176903,155939,162423,145579,136401,128081,53255,242627,247800,252246,269864,292452,299191,297343,-32698,-161133,-204362,-218345,-274513,-343298,-372840,-313643,20557,81494,43438,33901,-4649,-50846,-73649,-16300,-3278,-2551,-2739,-2369,-2428,-1183,-20,-560,11.64092827,11.44169139,11.36231618,11.26824831,11.28029615,11.10169128,11.01205929,8.482044944,8.268626508,8.575401759,8.37431819,8.692218271,8.68014224,8.741722199,3.158883327,3.173064885,2.786914425,2.89393012,2.588077875,2.421549044,2.270337091,4.37043677,4.444726649,4.508096218,4.808232564,5.199160254,5.311586278,5.270639998,-2.902486484,-3.665590103,-3.902223499,-4.891064929,-6.103091505,-6.619088903,-5.559570398,1.467950287,0.779136546,0.605872719,-0.082832364,-0.903931251,-1.307502625,-0.2889304
20,2,0,0,Midwest Region,66927001,66929794,66973360,67141501,67318295,67534451,67720120,67839187,67978168,68179351,43566,168141,176794,216156,185669,119067,138981,201183,212614,834915,830701,830859,836503,837962,829016,822534,140814,586823,584818,605237,597104,626496,610756,607187,71800,248092,245883,225622,239399,211466,218260,215347,23611,104806,114977,115082,131251,144681,145770,143872,-50698,-184438,-182926,-123197,-182139,-234418,-224594,-156897,-27087,-79632,-67949,-8115,-50888,-89737,-78824,-13025,-1147,-319,-1140,-1351,-2842,-2662,-455,-1139,12.45074548,12.35612465,12.3224632,12.36931209,12.36303163,12.20780658,12.08209442,8.751051086,8.69877863,8.976265118,8.829335609,9.243127807,8.993784336,8.91889048,3.699694399,3.657346022,3.346198082,3.539976479,3.119903822,3.214022243,3.163203936,1.562928958,1.710206373,1.706780224,1.940799472,2.134578631,2.146559252,2.113317003,-2.750448364,-2.720902537,-1.827133724,-2.693276814,-3.458530516,-3.307294565,-2.304639526,-1.187519405,-1.010696164,-0.1203535,-0.752477341,-1.323951885,-1.160735313,-0.191322523
20,3,0,0,South Region,114555744,114563024,114869241,116060993,117291728,118422269,119699966,121081238,122423457,123658624,306217,1191752,1230735,1130541,1277697,1381272,1342219,1235167,368759,1509600,1504946,1504791,1525280,1545726,1545780,1538511,228757,962707,960547,1011167,1006140,1052366,1069876,1080064,140002,546893,544399,493624,519140,493360,475904,458447,71191,304141,343244,337474,378021,427161,428705,418768,90359,336031,337183,294485,374125,456044,437419,356884,161550,640172,680427,631959,752146,883205,866124,775652,4665,4687,5909,4958,6411,4707,191,1068,13.07407847,12.89846541,12.76793928,12.81089941,12.839258,12.69610017,12.50404738,8.337643654,8.232575955,8.579609297,8.45061781,8.741263708,8.787313115,8.778079213,4.736434814,4.665889454,4.188329979,4.360281601,4.097994294,3.908787056,3.725968166,2.63405094,2.941846991,2.863419265,3.175016394,3.548125791,3.521123073,3.403482271,2.91023825,2.889899878,2.498663667,3.142293705,3.788036545,3.592694589,2.900528137,5.54428919,5.831746869,5.362082931,6.317310099,7.336162336,7.113817662,6.304010409
20,4,0,0,West Region,71945553,71946937,72107471,72799127,73522988,74230053,74999361,75822786,76644950,77410622,160534,691656,723861,707065,769308,823425,822164,765672,243011,982718,963438,969159,968977,974173,962582,963710,118388,492027,495178,511787,509192,532028,559147,563625,124623,490691,468260,457372,459785,442145,403435,400085,43114,193242,207526,203874,228137,260470,258430,251300,-6963,9540,50105,47057,82527,121672,160015,113656,36151,202782,257631,250931,310664,382142,418445,364956,-240,-1817,-2030,-1238,-1141,-862,284,631,13.56346797,13.16872709,13.11863355,12.98640763,12.91816911,12.62669763,12.51119953,6.790953715,6.768327536,6.927600225,6.824284655,7.055038144,7.334627177,7.317164744,6.772514251,6.400399557,6.19103332,6.162122971,5.863130963,5.292070448,5.194034786,2.66712493,2.836563701,2.759658937,3.057533952,3.454002017,3.389963107,3.262459082,0.131671023,0.684858881,0.636968277,1.106042003,1.613450046,2.099001457,1.475519496,2.798795953,3.521422582,3.396627214,4.163575956,5.067452063,5.488964564,4.737978578
40,3,6,1,Alabama,4779736,4780135,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747,5444,13070,15297,13714,12377,10821,9687,14202,14227,59689,59069,57936,58908,59638,59095,58389,11086,48817,48362,50852,49693,51818,52077,52390,3141,10872,10707,7084,9215,7820,7018,5999,1086,4481,4509,3931,4100,4825,4678,4475,1227,-2321,6,2646,-744,-1537,-1964,3840,2313,2160,4515,6577,3356,3288,2714,8315,-10,38,75,53,-194,-287,-45,-112,12.45567196,12.28991755,12.01791486,12.18656315,12.30804792,12.17022916,11.99532587,10.18694463,10.06221525,10.54845012,10.28021462,10.69416189,10.72491791,10.76290264,2.26872733,2.227702301,1.469464734,1.906348534,1.613886024,1.445311249,1.232423229,0.935077922,0.938144174,0.815424318,0.848185457,0.99578006,0.963403537,0.919335547,-0.484337393,0.001248362,0.548871215,-0.153914629,-0.317204964,-0.404472969,0.788882347,0.450740529,0.939392537,1.364295533,0.694270828,0.678575096,0.558930569,1.708217894
40,4,9,2,Alaska,710231,710249,714015,722259,730825,736760,736759,737979,741522,739795,3766,8244,8566,5935,-1,1220,3543,-1727,2893,11703,11123,11342,11449,11335,11220,11163,919,3936,3931,4047,4038,4360,4459,4543,1974,7767,7192,7295,7411,6975,6761,6620,542,1440,2558,2168,1953,2303,1882,1557,1159,-998,-1263,-3544,-9590,-8196,-5122,-9938,1701,442,1295,-1376,-7637,-5893,-3240,-8381,91,35,79,16,225,138,22,34,16.29633343,15.30950723,15.45668564,15.53967068,15.37222205,15.16727599,15.07172334,5.480848362,5.410561261,5.515183107,5.480757289,5.912914701,6.027707991,6.133730998,10.81548507,9.898945966,9.941502537,10.05891339,9.459307348,9.139568003,8.937992341,2.005188425,3.520787511,2.954513708,2.650797173,3.123266641,2.544101018,2.102183395,-1.389706978,-1.738371629,-4.82970322,-13.01645924,-11.1151947,-6.923956118,-13.41778971,0.615481447,1.782415882,-1.875189512,-10.36566206,-7.991928058,-4.3798551,-11.31560632
40,4,8,4,Arizona,6392017,6392309,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270,14693,58486,78723,71913,90311,95827,106380,107628,20942,86103,85579,86100,86124,86766,85201,85634,11484,48160,48753,50602,50244,52857,57115,57553,9458,37943,36826,35498,35880,33909,28086,28081,1972,10034,11316,11859,14066,16392,16525,16205,3439,10415,30173,24320,39890,45205,61737,63111,5411,20449,41489,36179,53956,61597,78262,79316,-176,94,408,236,475,321,32,231,13.37783133,13.15618447,13.0847733,12.92904764,12.84594658,12.42821042,12.2993955,7.482623797,7.494869789,7.690077798,7.542695063,7.825625225,8.331325199,8.266192275,5.895207532,5.661314685,5.3946955,5.386352577,5.020321353,4.096885224,4.033203226,1.558983538,1.739625183,1.802233758,2.111606336,2.426880994,2.41049022,2.32748329,1.618179544,4.638539293,3.695954548,5.988339027,6.692725435,9.005533114,9.064473801,3.177163082,6.378164476,5.498188306,8.099945363,9.119606428,11.41602333,11.39195709
40,3,7,5,Arkansas,2915918,2916031,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279,5706,16903,10568,7572,8020,10826,12605,16048,9439,38441,38600,37977,38230,38784,38497,38236,6967,29467,29764,30944,29939,31336,30603,30395,2472,8974,8836,7033,8291,7448,7894,7841,578,2248,2622,2515,3043,3554,3579,3499,2449,5438,-1050,-2045,-3292,-155,1159,4718,3027,7686,1572,470,-249,3399,4738,8217,207,243,160,69,-22,-21,-27,-10,13.11895122,13.11175153,12.860507,12.91209441,13.0576494,12.91010163,12.76126364,10.05634962,10.11031535,10.47885637,10.11182826,10.55008513,10.26282153,10.14433017,3.062601604,3.001436178,2.381650623,2.800266145,2.507564272,2.647280108,2.616933472,0.767186138,0.890647992,0.851677992,1.027766238,1.196547184,1.200229985,1.167791126,1.855853301,-0.356666816,-0.692517492,-1.111865414,-0.05218481,0.388674645,1.574632333,2.623039439,0.533981176,0.1591605,-0.084099176,1.144362374,1.58890463,2.742423459
40,4,9,6,California,37253956,37254518,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653,73172,344964,346352,328377,353895,331166,264032,240177,123307,509764,497433,499627,498911,500352,488905,487916,57293,238428,239563,247767,243999,253579,271039,273977,66014,271336,257870,251860,254912,246773,217866,213939,28263,130365,132141,131825,148288,167976,168351,164867,-20745,-54626,-40756,-53076,-46330,-80859,-122123,-138195,7518,75739,91385,78749,101958,87117,46228,26672,-360,-2111,-2903,-2232,-2975,-2724,-62,-434,13.59364432,13.14366735,13.08499738,12.95054303,12.87348623,12.48338417,12.37845069,6.358050838,6.329970832,6.488901813,6.333633754,6.524298425,6.920534587,6.950808714,7.235593479,6.813696516,6.596095568,6.61690928,6.349187808,5.562849584,5.427641975,3.476384055,3.491560365,3.452435076,3.849203817,4.321830878,4.298565587,4.182683146,-1.456686652,-1.076895394,-1.390035608,-1.202616617,-2.080409838,-3.118209724,-3.506013316,2.019697403,2.414664971,2.062399467,2.6465872,2.24142104,1.180355864,0.67666983
